Spoken_Volume_ID,Track_ID,Loudness,Instrumentalness,Speechiness,Acousticness
70,70,-9.935,0.000133,0.0372,0.0097
71,71,-10.654,0.00361,0.0278,0.0577
72,72,-9.129,9.32E-05,0.0258,0.0638
73,73,-11.782,0.0176,0.0256,0.0724
74,74,-11.357,0.122,0.0349,0.224
75,75,-8.025,0.756,0.0387,0.772
76,76,-6.085,0.00416,0.0479,0.108
77,77,-12.592,0.0997,0.0297,0.167
78,78,-6.913,0.012,0.0862,0.000401
79,79,-9.785,0.579,0.0342,0.832
80,80,-4.793,0.00158,0.133,0.061
81,81,-5.175,0.0117,0.0364,0.000147
82,82,-5.678,0.00965,0.047,0.011
83,83,-5.509,0.000513,0.0574,0.00287
84,84,-5.218,0.000108,0.302,0.153
85,85,-4.768,0.0055,0.0475,0.00532
86,86,-4.881,0.00245,0.17,0.214
87,87,-5.303,0.0879,0.0747,0.000239
88,88,-3.551,0.0538,0.0894,0.133
89,89,-2.356,0.0118,0.0615,0.000998
90,90,-6.375,0,0.0265,0.0873
91,91,-5.282,0,0.0325,0.176
92,92,-3.222,0,0.178,0.111
93,93,-8.685,0,0.179,0.186
94,94,-8.784,0.0237,0.191,0.0206
95,95,-3.15,0,0.181,0.0093
96,96,-2.273,1.76E-05,0.185,0.00789
97,97,-6.857,2.29E-05,0.0735,0.00474
98,98,-6.968,0.000758,0.0561,0.0295
99,99,-6.047,2.39E-05,0.132,0.203
100,100,-9.62,0.0436,0.0541,0.0173
101,101,-2.675,0,0.176,0.0784
102,102,-9.03,0.000353,0.0473,0.0242
103,103,-3.947,0.468,0.0751,0.247
104,104,-12.521,9.91E-05,0.0353,0.179
105,105,-9.875,0.0461,0.089,0.126
106,106,-5.539,0.00837,0.129,0.205
107,107,-2.383,0.00224,0.0582,0.153
108,108,-4.523,5.50E-05,0.147,0.0544
109,109,-6.212,1.79E-06,0.0435,0.132
110,110,-7.273,0.000302,0.0489,0.346
111,111,-4.005,0,0.0917,0.0273
112,112,-5.006,0,0.0838,0.0048
113,113,-7.079,0,0.03,0.00144
114,114,-3.078,0,0.0425,0.000334
115,115,-6.177,2.01E-06,0.0506,0.0281
116,116,-6.859,0,0.138,0.0528
117,117,-3.889,0.000216,0.0945,0.00162
