Track_ID,Liveness,Valence
308,0.154,0.397
309,0.102,0.602
310,0.349,0.775
311,0.46,0.811
312,0.582,0.751
313,0.263,0.441
314,0.167,0.557
315,0.477,0.431
316,0.15,0.327
317,0.5,0.432
318,0.262,0.33
319,0.15,0.155
320,0.0822,0.172
321,0.355,0.424
322,0.093,0.366
323,0.147,0.257
324,0.353,0.445
325,0.151,0.202
326,0.39,0.329
327,0.0707,0.225
328,0.163,0.203
329,0.0834,0.153
330,0.113,0.31
331,0.248,0.654
332,0.386,0.43
333,0.349,0.775
334,0.538,0.438
335,0.408,0.49
336,0.125,0.124
337,0.187,0.0397
338,0.115,0.918
339,0.0554,0.623
340,0.0627,0.909
341,0.134,0.283
342,0.169,0.437
343,0.0994,0.708
344,0.0433,0.252
345,0.149,0.262
346,0.177,0.417
347,0.114,0.0888
348,0.918,0.666
349,0.189,0.48
350,0.0698,0.642
351,0.0715,0.681
352,0.171,0.464
353,0.27,0.864
354,0.0563,0.472
355,0.604,0.651
356,0.155,0.587
357,0.123,0.356
358,0.181,0.399
359,0.372,0.759
360,0.129,0.481
361,0.0822,0.586
362,0.0845,0.741
363,0.108,0.573
364,0.283,0.84
365,0.067,0.839
366,0.0574,0.656
367,0.193,0.568
368,0.162,0.777
369,0.221,0.761
370,0.333,0.837
371,0.165,0.35
372,0.603,0.453
373,0.111,0.462
374,0.163,0.386
375,0.138,0.0663
376,0.105,0.809
377,0.0982,0.624
378,0.108,0.341
379,0.114,0.66
380,0.101,0.763
381,0.094,0.823
382,0.212,0.675
383,0.328,0.708
384,0.131,0.916
385,0.132,0.216
386,0.323,0.66
387,0.119,0.691
388,0.126,0.785
389,0.0525,0.691
390,0.187,0.491
391,0.242,0.924
392,0.0723,0.382
393,0.443,0.907
394,0.355,0.894
395,0.195,0.702
396,0.0889,0.235
397,0.0713,0.761
398,0.183,0.711
399,0.0523,0.544
400,0.128,0.442
401,0.268,0.287
402,0.13,0.774
403,0.0569,0.788
404,0.161,0.761
405,0.319,0.235
406,0.132,0.216
407,0.0586,0.782
408,0.126,0.785
409,0.208,0.665
410,0.0976,0.644
411,0.464,0.771
412,0.111,0.317
413,0.255,0.655
414,0.0918,0.397
415,0.0598,0.237
416,0.494,0.515
417,0.147,0.734
418,0.104,0.623
419,0.0912,0.129
420,0.074,0.496
421,0.29,0.302
422,0.112,0.29
423,0.105,0.819
424,0.0978,0.697
425,0.157,0.48
426,0.102,0.142
427,0.0885,0.583
428,0.232,0.313
429,0.105,0.31
430,0.194,0.492
431,0.155,0.136
432,0.235,0.604
433,0.25,0.581
434,0.184,0.438
435,0.174,0.411
436,0.129,0.459
437,0.103,0.67
438,0.145,0.655
439,0.0863,0.463
440,0.11,0.964
441,0.124,0.247
442,0.349,0.802
443,0.185,0.835
444,0.283,0.595
445,0.108,0.0375
446,0.155,0.423
447,0.194,0.279
448,0.176,0.381
449,0.0708,0.35
450,0.109,0.704
451,0.123,0.807
452,0.249,0.487
453,0.09,0.762
454,0.648,0.518
455,0.0548,0.147
456,0.826,0.369
457,0.119,0.178
458,0.154,0.192
459,0.0667,0.762
460,0.0976,0.381
461,0.0272,0.82
462,0.0837,0.244
463,0.0858,0.78
464,0.0789,0.488
465,0.291,0.56
466,0.184,0.207
467,0.091,0.575
468,0.068,0.867
469,0.884,0.241
470,0.339,0.376
471,0.156,0.54
472,0.609,0.453
473,0.558,0.62
474,0.664,0.638
475,0.342,0.471
476,0.41,0.677
477,0.668,0.307
478,0.477,0.433
479,0.1,0.436
480,0.152,0.319
481,0.192,0.191
482,0.125,0.608
483,0.142,0.293
484,0.112,0.539
485,0.128,0.435
486,0.116,0.323
487,0.0921,0.435
488,0.0335,0.845
489,0.136,0.545
490,0.0708,0.321
491,0.11,0.636
492,0.0272,0.82
493,0.159,0.407
494,0.207,0.802
495,0.195,0.158
496,0.46,0.371
497,0.094,0.308
498,0.0811,0.517
499,0.247,0.721
500,0.832,0.375
501,0.0832,0.181
502,0.0837,0.171
503,0.269,0.785
