Track_ID,Artist_Name,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream
11,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4.0,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307.0,https://www.youtube.com/watch?v=GLvohMXgcBo,Red Hot Chili Peppers - Under The Bridge [Official Music Video],Red Hot Chili Peppers,246687714.0,1213572.0,32761.0,True,True,1061750522.0
12,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Can't Stop,By the Way (Deluxe Edition),album,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9.0,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,269000.0,https://www.youtube.com/watch?v=8DyziWtkfBw,Red Hot Chili Peppers - Can't Stop [Official Music Video],Red Hot Chili Peppers,336635759.0,1740224.0,32573.0,True,True,866464951.0
13,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Scar Tissue,Californication (Deluxe Edition),album,spotify:track:1G391cbiT3v3Cywg8T7DM1,0.595,0.717,0.0,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907.0,https://www.youtube.com/watch?v=mzJj5-lubeM,Red Hot Chili Peppers - Scar Tissue [Official Music Video],Red Hot Chili Peppers,435121530.0,1890900.0,37069.0,True,True,613838674.0
14,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Otherside,Californication (Deluxe Edition),album,spotify:track:64BbK9SFKH2jk86U3dGj2P,0.458,0.795,0.0,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373.0,https://www.youtube.com/watch?v=rn_YodiJO6k,Red Hot Chili Peppers - Otherside [Official Music Video],Red Hot Chili Peppers,673528656.0,3140356.0,60091.0,True,True,732774515.0
15,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Snow (Hey Oh),Stadium Arcadium,album,spotify:track:2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,11.0,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,334667.0,https://www.youtube.com/watch?v=yuFI5KSPAt4,Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video),Red Hot Chili Peppers,320871237.0,1272266.0,37004.0,True,True,860722316.0
16,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dani California,Stadium Arcadium,album,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,0.556,0.913,0.0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160.0,https://www.youtube.com/watch?v=Sb5aq5HcS1A,Red Hot Chili Peppers - Dani California [Official Music Video],Red Hot Chili Peppers,324228662.0,1456622.0,49461.0,True,True,550067391.0
17,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,By the Way,By the Way (Deluxe Edition),album,spotify:track:1f2V8U1BiWaC9aJWmpOARe,0.451,0.97,0.0,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,216933.0,https://www.youtube.com/watch?v=JnfyjwChuNU,Red Hot Chili Peppers - By The Way [Official Music Video],Red Hot Chili Peppers,179005296.0,784717.0,20084.0,True,True,367485508.0
18,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,spotify:track:0uppYCG86ajpV2hSR3dJJ0,0.666,0.936,7.0,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,282907.0,https://www.youtube.com/watch?v=Mr_uHJPUlO8,Red Hot Chili Peppers - Give It Away [Official Music Video],Red Hot Chili Peppers,86637926.0,434837.0,16029.0,True,True,301947159.0
19,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dark Necessities,The Getaway,album,spotify:track:2oaK4JLVnmRGIO9ytBE1bt,0.7,0.742,5.0,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000.0,https://www.youtube.com/watch?v=Q0oIoR9mLwc,Red Hot Chili Peppers - Dark Necessities [Official Music Video],Red Hot Chili Peppers,440037964.0,2094182.0,56516.0,True,True,385677873.0
20,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,In Da Club,Get Rich Or Die Tryin',album,spotify:track:4RY96Asd9IefaL3X4LOLZ8,0.902,0.72,6.0,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,193467.0,https://www.youtube.com/watch?v=5qm8PH4xAss,50 Cent - In Da Club (Official Music Video),50CentVEVO,1682616458.0,10481678.0,296745.0,True,True,1041736808.0
