rank,movie_name,year,imdb_rating,duration,genre
137,Unforgiven,1992,8.2,130,Drama
138,Casino,1995,8.2,178,Crime
139,Ran,1985,8.2,162,Action
140,Pan's Labyrinth,2006,8.2,118,Drama
141,There Will Be Blood,2007,8.2,158,Drama
142,The Sixth Sense,1999,8.2,107,Drama
143,A Beautiful Mind,2001,8.2,135,Biography
144,Monty Python and the Holy Grail,1975,8.2,91,Adventure
145,The Truman Show,1998,8.2,103,Comedy
146,Yojimbo,1961,8.2,110,Action
147,The Treasure of the Sierra Madre,1948,8.2,126,Adventure
148,Rashomon,1950,8.2,88,Crime
149,Shutter Island,2010,8.2,138,Mystery
150,The Great Escape,1963,8.2,172,Adventure
151,Jurassic Park,1993,8.2,127,Action
152,Kill Bill: Vol. 1,2003,8.2,111,Action
153,No Country for Old Men,2007,8.2,122,Crime
154,Finding Nemo,2003,8.2,100,Animation
155,The Elephant Man,1980,8.2,124,Biography
156,Raging Bull,1980,8.2,129,Biography
157,Chinatown,1974,8.2,130,Drama
158,Gone with the Wind,1939,8.2,238,Drama
159,V for Vendetta,2005,8.2,132,Action
160,The Thing,1982,8.2,109,Horror
161,Inside Out,2015,8.2,95,Animation
162,"Lock, Stock and Two Smoking Barrels",1998,8.2,107,Action
163,Dial M for Murder,1954,8.2,105,Crime
164,The Secret in Their Eyes,2009,8.2,129,Drama
165,The Bridge on the River Kwai,1957,8.2,161,Adventure
166,Howl's Moving Castle,2004,8.2,119,Animation
167,"Three Billboards Outside Ebbing, Missouri",2017,8.1,115,Comedy
168,Trainspotting,1996,8.1,93,Drama
169,Gran Torino,2008,8.1,116,Drama
170,Warrior,2011,8.2,140,Action
171,Fargo,1996,8.1,98,Crime
172,My Neighbor Totoro,1988,8.1,86,Animation
173,Prisoners,2013,8.1,153,Crime
174,Million Dollar Baby,2004,8.1,132,Drama
175,The Gold Rush,1925,8.2,95,Adventure
176,Blade Runner,1982,8.1,117,Action
177,Catch Me If You Can,2002,8.1,141,Biography
178,On the Waterfront,1954,8.1,108,Crime
179,The Third Man,1949,8.1,104,Film-Noir
180,Children of Heaven,1997,8.2,89,Drama
181,Ben-Hur,1959,8.1,212,Adventure
182,12 Years a Slave,2013,8.1,134,Biography
183,The General,1926,8.2,67,Action
184,Wild Strawberries,1957,8.1,91,Drama
185,Gone Girl,2014,8.1,149,Drama
186,Before Sunrise,1995,8.1,101,Drama
187,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,Adventure
188,The Deer Hunter,1978,8.1,183,Drama
189,In the Name of the Father,1993,8.1,133,Biography
190,The Grand Budapest Hotel,2014,8.1,99,Adventure
