rank,movie_id,movie_name,year,imdb_rating,duration,genre
108,tt0070735,The Sting,1973,8.3,129,Comedy
109,tt0056592,To Kill a Mockingbird,1962,8.3,129,Crime
110,tt0075314,Taxi Driver,1976,8.2,114,Crime
111,tt0119488,L.A. Confidential,1997,8.2,138,Crime
112,tt1049413,Up,2009,8.3,96,Animation
113,tt0113277,Heat,1995,8.3,170,Action
114,tt8503618,Hamilton,2020,8.4,160,Biography
115,tt0017136,Metropolis,1927,8.3,153,Drama
116,tt1832382,A Separation,2011,8.3,123,Drama
117,tt0208092,Snatch,2000,8.3,104,Comedy
118,tt0095016,Die Hard,1988,8.2,132,Action
119,tt1255953,Incendies,2010,8.3,131,Drama
120,tt0097576,Indiana Jones and the Last Crusade,1989,8.2,127,Action
121,tt0040522,Ladri di biciclette,1948,8.3,89,Drama
122,tt8579674,1917,2019,8.2,119,Action
123,tt10872600,Spider-Man: No Way Home,2021,8.3,148,Action
124,tt0986264,Taare Zameen Par,2007,8.3,165,Drama
125,tt0363163,Downfall,2004,8.2,156,Biography
126,tt0059578,For a Few Dollars More,1965,8.2,132,Western
127,tt0372784,Batman Begins,2005,8.2,140,Action
128,tt5074352,Dangal,2016,8.3,161,Action
129,tt0012349,The Kid,1921,8.3,68,Comedy
130,tt0053291,Some Like It Hot,1959,8.2,121,Comedy
131,tt10272386,The Father,2020,8.2,97,Drama
132,tt0042192,All About Eve,1950,8.2,138,Drama
133,tt6966692,Green Book,2018,8.2,130,Biography
134,tt0993846,The Wolf of Wall Street,2013,8.2,180,Biography
135,tt6710474,Everything Everywhere All at Once,2022,8.3,139,Action
136,tt0055031,Judgment at Nuremberg,1961,8.3,179,Drama
137,tt0105695,Unforgiven,1992,8.2,130,Drama
138,tt0112641,Casino,1995,8.2,178,Crime
139,tt0089881,Ran,1985,8.2,162,Action
140,tt0457430,Pan's Labyrinth,2006,8.2,118,Drama
141,tt0469494,There Will Be Blood,2007,8.2,158,Drama
142,tt0167404,The Sixth Sense,1999,8.2,107,Drama
143,tt0268978,A Beautiful Mind,2001,8.2,135,Biography
144,tt0071853,Monty Python and the Holy Grail,1975,8.2,91,Adventure
145,tt0120382,The Truman Show,1998,8.2,103,Comedy
146,tt0055630,Yojimbo,1961,8.2,110,Action
147,tt0040897,The Treasure of the Sierra Madre,1948,8.2,126,Adventure
148,tt0042876,Rashomon,1950,8.2,88,Crime
149,tt1130884,Shutter Island,2010,8.2,138,Mystery
150,tt0057115,The Great Escape,1963,8.2,172,Adventure
151,tt0107290,Jurassic Park,1993,8.2,127,Action
152,tt0266697,Kill Bill: Vol. 1,2003,8.2,111,Action
153,tt0477348,No Country for Old Men,2007,8.2,122,Crime
154,tt0266543,Finding Nemo,2003,8.2,100,Animation
155,tt0080678,The Elephant Man,1980,8.2,124,Biography
156,tt0081398,Raging Bull,1980,8.2,129,Biography
157,tt0071315,Chinatown,1974,8.2,130,Drama
158,tt0031381,Gone with the Wind,1939,8.2,238,Drama
159,tt0434409,V for Vendetta,2005,8.2,132,Action
160,tt0084787,The Thing,1982,8.2,109,Horror
161,tt2096673,Inside Out,2015,8.2,95,Animation
162,tt0120735,"Lock, Stock and Two Smoking Barrels",1998,8.2,107,Action
